"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2018","5,101.85","5,077.57","5,106.77","5,054.90","81.18M","0.85%"
"Nov 12, 2018","5,059.09","5,130.38","5,140.45","5,058.49","79.45M","-0.93%"
"Nov 09, 2018","5,106.75","5,103.43","5,112.57","5,072.21","87.33M","-0.48%"
"Nov 08, 2018","5,131.45","5,147.19","5,168.11","5,120.14","89.94M","-0.13%"
"Nov 07, 2018","5,137.94","5,100.08","5,150.64","5,098.90","91.56M","1.24%"
"Nov 06, 2018","5,075.19","5,110.80","5,110.80","5,066.39","69.24M","-0.51%"
"Nov 05, 2018","5,101.39","5,101.87","5,124.19","5,092.36","70.41M","-0.01%"
"Nov 02, 2018","5,102.13","5,147.02","5,162.18","5,101.28","97.35M","0.32%"
"Nov 01, 2018","5,085.78","5,076.55","5,119.68","5,060.76","88.78M","-0.15%"
"Oct 31, 2018","5,093.44","5,049.74","5,106.76","5,047.35","134.28M","2.31%"
"Oct 30, 2018","4,978.53","4,996.92","5,010.44","4,929.94","99.41M","-0.22%"
"Oct 29, 2018","4,989.35","4,958.51","5,030.02","4,958.51","85.83M","0.44%"
"Oct 26, 2018","4,967.37","4,978.39","4,978.39","4,896.80","135.69M","-1.29%"
"Oct 25, 2018","5,032.30","4,933.95","5,033.52","4,925.56","129.33M","1.60%"
"Oct 24, 2018","4,953.09","4,995.77","5,043.37","4,951.16","119.98M","-0.29%"
"Oct 23, 2018","4,967.69","4,991.91","5,009.43","4,955.67","118.49M","-1.69%"
"Oct 22, 2018","5,053.31","5,130.29","5,135.69","5,052.24","76.92M","-0.62%"
"Oct 19, 2018","5,084.66","5,119.64","5,133.59","5,057.45","134.27M","-0.63%"
"Oct 18, 2018","5,116.79","5,150.23","5,175.59","5,115.31","102.31M","-0.55%"
"Oct 17, 2018","5,144.95","5,187.11","5,205.38","5,117.23","93.41M","-0.54%"
"Oct 16, 2018","5,173.05","5,094.44","5,176.80","5,082.41","90.77M","1.53%"
"Oct 15, 2018","5,095.07","5,095.12","5,105.93","5,058.05","81.54M","-0.02%"
"Oct 12, 2018","5,095.98","5,160.23","5,164.03","5,095.74","101.32M","-0.20%"
"Oct 11, 2018","5,106.37","5,128.22","5,175.36","5,101.90","145.58M","-1.92%"
"Oct 10, 2018","5,206.22","5,319.27","5,319.88","5,200.11","108.06M","-2.11%"
"Oct 09, 2018","5,318.55","5,304.11","5,328.37","5,260.53","81.30M","0.35%"
"Oct 08, 2018","5,300.25","5,339.49","5,349.31","5,291.74","71.58M","-1.10%"
"Oct 05, 2018","5,359.36","5,407.58","5,412.31","5,354.79","86.73M","-0.95%"
"Oct 04, 2018","5,410.85","5,471.88","5,477.92","5,404.84","97.10M","-1.47%"
"Oct 03, 2018","5,491.40","5,485.02","5,509.08","5,468.47","67.59M","0.43%"
"Oct 02, 2018","5,467.89","5,473.79","5,480.24","5,440.78","86.04M","-0.71%"
"Oct 01, 2018","5,506.82","5,494.93","5,519.94","5,491.17","77.51M","0.24%"
"Sep 28, 2018","5,493.49","5,514.55","5,527.24","5,458.21","115.66M","-0.85%"
"Sep 27, 2018","5,540.41","5,500.25","5,546.80","5,485.83","77.01M","0.50%"
"Sep 26, 2018","5,512.73","5,482.99","5,512.75","5,471.57","80.38M","0.61%"
"Sep 25, 2018","5,479.10","5,468.91","5,497.15","5,468.78","76.61M","0.05%"
"Sep 24, 2018","5,476.17","5,480.64","5,488.18","5,463.44","75.92M","-0.33%"
"Sep 21, 2018","5,494.17","5,463.66","5,499.03","5,463.66","229.39M","0.78%"
"Sep 20, 2018","5,451.59","5,398.20","5,461.11","5,398.20","111.96M","1.07%"
"Sep 19, 2018","5,393.74","5,362.94","5,406.06","5,361.33","87.96M","0.56%"
"Sep 18, 2018","5,363.79","5,348.49","5,389.76","5,339.62","82.71M","0.28%"
"Sep 17, 2018","5,348.87","5,344.55","5,358.18","5,329.97","68.22M","-0.07%"
"Sep 14, 2018","5,352.57","5,353.58","5,362.20","5,338.25","68.86M","0.46%"
"Sep 13, 2018","5,328.12","5,327.94","5,366.34","5,325.30","78.10M","-0.08%"
"Sep 12, 2018","5,332.13","5,294.58","5,338.63","5,293.62","77.79M","0.91%"
"Sep 11, 2018","5,283.79","5,284.24","5,285.02","5,240.04","77.05M","0.27%"
"Sep 10, 2018","5,269.63","5,250.76","5,291.21","5,241.18","73.60M","0.33%"
"Sep 07, 2018","5,252.22","5,252.98","5,266.63","5,226.31","86.21M","0.16%"
"Sep 06, 2018","5,243.84","5,254.70","5,292.43","5,243.81","81.96M","-0.31%"
"Sep 05, 2018","5,260.22","5,322.08","5,324.00","5,259.98","106.75M","-1.54%"
"Sep 04, 2018","5,342.70","5,423.67","5,428.22","5,322.77","81.70M","-1.31%"
"Sep 03, 2018","5,413.80","5,400.70","5,417.46","5,387.21","50.13M","0.13%"
"Aug 31, 2018","5,406.85","5,470.80","5,471.05","5,403.16","91.89M","-1.30%"
"Aug 30, 2018","5,478.06","5,494.02","5,498.77","5,467.12","66.27M","-0.42%"
"Aug 29, 2018","5,501.33","5,495.95","5,504.32","5,476.27","54.62M","0.30%"
"Aug 28, 2018","5,484.99","5,489.51","5,506.76","5,477.35","64.76M","0.11%"
"Aug 27, 2018","5,479.10","5,455.40","5,487.45","5,448.49","45.12M","0.86%"
"Aug 24, 2018","5,432.50","5,422.78","5,449.75","5,421.21","53.67M","0.24%"
"Aug 23, 2018","5,419.33","5,422.39","5,436.72","5,415.43","53.65M","-0.02%"
"Aug 22, 2018","5,420.61","5,401.43","5,431.52","5,401.43","73.64M","0.22%"
"Aug 21, 2018","5,408.60","5,372.02","5,427.26","5,367.38","58.22M","0.54%"
"Aug 20, 2018","5,379.65","5,362.37","5,397.78","5,356.32","49.78M","0.65%"
"Aug 17, 2018","5,344.93","5,356.49","5,366.56","5,313.99","66.17M","-0.08%"
"Aug 16, 2018","5,349.02","5,326.17","5,354.95","5,307.16","66.77M","0.83%"
"Aug 15, 2018","5,305.22","5,414.75","5,417.19","5,287.18","90.55M","-1.82%"
"Aug 14, 2018","5,403.41","5,437.43","5,447.93","5,392.39","70.58M","-0.16%"
"Aug 13, 2018","5,412.32","5,402.41","5,428.91","5,385.19","68.94M","-0.04%"
"Aug 10, 2018","5,414.68","5,455.96","5,466.67","5,391.01","106.31M","-1.59%"
"Aug 09, 2018","5,502.25","5,487.92","5,502.42","5,468.64","56.95M","0.01%"
"Aug 08, 2018","5,501.90","5,518.49","5,530.02","5,497.10","59.40M","-0.35%"
"Aug 07, 2018","5,521.31","5,490.91","5,539.41","5,490.08","67.91M","0.81%"
"Aug 06, 2018","5,477.18","5,487.28","5,501.54","5,456.51","63.16M","-0.03%"
"Aug 03, 2018","5,478.98","5,475.82","5,491.78","5,459.27","74.49M","0.33%"
"Aug 02, 2018","5,460.98","5,477.63","5,483.74","5,445.91","98.07M","-0.68%"
"Aug 01, 2018","5,498.37","5,520.33","5,531.58","5,495.79","83.52M","-0.23%"
"Jul 31, 2018","5,511.30","5,486.13","5,529.03","5,477.81","100.73M","0.37%"
"Jul 30, 2018","5,491.22","5,490.20","5,507.48","5,482.24","71.13M","-0.37%"
"Jul 27, 2018","5,511.76","5,477.53","5,514.40","5,475.77","107.75M","0.57%"
"Jul 26, 2018","5,480.55","5,463.29","5,480.55","5,435.27","101.96M","1.00%"
"Jul 25, 2018","5,426.41","5,445.24","5,452.25","5,413.66","83.91M","-0.14%"
"Jul 24, 2018","5,434.19","5,399.19","5,453.05","5,389.77","99.55M","1.04%"
"Jul 23, 2018","5,378.25","5,382.86","5,385.83","5,358.82","60.76M","-0.37%"
"Jul 20, 2018","5,398.32","5,409.67","5,424.37","5,342.30","96.40M","-0.35%"
"Jul 19, 2018","5,417.07","5,437.71","5,444.19","5,409.77","75.61M","-0.56%"
